,Year,Algeria,Argentina,Australia,Bangladesh,Brazil,BRICS,Canada,Chile,China (People's Republic of),Colombia,Egypt,Ethiopia,European Union (28 countries),Ghana,Haiti,India,Indonesia,Iran,Israel,Japan,Kazakhstan,Korea,Malaysia,Mexico,Mozambique,New Zealand,Nigeria,OECD - Total,Pakistan,Paraguay,Peru,Philippines,Russia,Saudi Arabia,South Africa,Sub-Saharan Africa,Sudan,Tanzania,Thailand,Turkey,Ukraine,United States,Uruguay,Viet Nam,World,Zambia
58,1973 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
59,1974 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
60,1975 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
61,1976 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
62,1977 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
63,1978 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
64,1979 Flags,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
65,1980 Flags,..,0,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
66,1981 Flags,..,0,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
67,1982 Flags,..,0,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,0,..,0,..,0,..,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,..,..,..,..
68,1983 Flags,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,..,0
69,1984 Flags,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,..,0
70,1985 Flags,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,..,0
71,1986 Flags,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,..,0
72,1987 Flags,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,..,0
73,1988 Flags,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,..,0
74,1989 Flags,0,0,0,0,0,0,0,0,0,0,0,..,..,0,0,0,0,0,0,0,..,0,0,0,0,0,0,..,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,..,0
75,1990 Flags,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,0,0
76,1991 Flags,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,..,0,0,0,0,0
77,1992 Flags,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,1993 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,1994 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,1995 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,1996 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,1997 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,1998 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,1999 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2000 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2001 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2002 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2003 Flags,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
