Location,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Botswana,,0.743603888,0.725467736,0.70705066,0.688453309,0.67143272,0.652581777,0.633637268,0.614694266,0.595854343,0.577183087,0.558806724,0.542072094,0.524061753,0.505985391,0.48781734,0.469632024,0.451681867,0.434309356,0.41993777,0.404484052,0.39009828,0.378518116,0.365819621,0.353799545,0.344057443,0.333151069,0.324417793,0.314591911,0.308998345,0.304388852,0.211253026,0.171179764,0.233277969,0.256637657,0.218868217,0.214042822,0.182277078,0.137058872,0.140484954,0.201545683,0.113473181,0.137126456,0.107708742,0.122565709,0.128755158,0.106031057,0.094279464,0.141777946,0.157432299,0.12647528,0.12394088,0.133625778,,,
Central African Republic,,1.09859282,1.085660544,1.072037786,1.057831199,1.04316394,1.028003285,1.012476739,0.997003293,0.982060653,0.967895402,0.954547965,0.941757309,0.929088363,0.916006737,0.902160675,0.887680738,0.872692641,0.856940103,0.840150902,0.822305137,0.799056857,0.779535372,0.760359598,0.742642368,0.723141754,0.713406695,0.697886676,0.683342112,0.668755366,0.653543157,0.637672495,0.624769151,0.608669984,0.593171216,0.578564919,0.564796002,0.55175805,0.539554066,0.528288046,0.517975077,0.508607188,0.500027981,0.486835807,0.483964477,0.475884257,0.467639357,0.459293725,0.450891913,0.44709471,0.404951841,0.397271802,0.38965256,,,
Canada,,2.235400361,2.214677125,2.193840962,2.172522639,2.152911881,2.132132881,2.094552224,2.061415349,2.034002283,2.006143313,1.976758717,1.95033735,1.922402238,1.892984777,1.862165539,1.842291011,1.835434527,1.831627559,1.827820571,1.818525597,1.810120482,1.789778589,1.77321653,1.757567504,1.742579601,1.726415814,1.706440678,1.68700502,1.659593119,1.637364614,1.617581797,1.597568156,1.579868632,1.564480182,1.551304763,1.534414716,1.520615463,1.509823822,1.49967868,1.488802296,1.476100238,1.458006505,1.438723324,1.419565557,1.400903689,1.385056818,1.358644424,1.33111659,1.30323706,1.276184394,1.251150897,1.32113103,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.419393644,0.401466329,0.398256419,0.393619635,0.393855241,0.395316632,0.390468742,0.390768477,0.387240421,0.370999249,0.366259766,0.361242973,0.358690044,0.358934731,0.361170241,0.360890662,0.363363495,0.366692688,0.356081371,0.358381999,0.357152224,,,
Switzerland,,0.072888953,0.071351489,0.068121386,0.066295541,0.064492753,0.062690077,0.060649706,0.059280975,0.058666443,0.057580826,0.05744038,0.057978366,0.057520222,0.0576213,0.058198678,0.058627492,0.058890265,0.059744612,0.059878955,0.060306282,0.060528096,0.060848255,0.061460345,0.062466382,0.062593069,0.062129812,0.060915744,0.061000524,0.061472154,0.06011449,0.059926664,0.059065964,0.05907817,0.059938846,0.059965739,0.059517665,0.058612711,0.058129387,0.057474876,0.056902251,0.056626316,0.056144663,0.055320881,0.05529374,0.054954105,0.05443661,0.053886067,0.053179561,0.052506311,0.05177057,0.051109664,0.050494813,,,
Channel Islands,,0.036232212,0.035886348,0.035525556,0.035156181,0.034785029,0.034415707,0.034049798,0.03369102,0.034174926,0.033829499,0.033493175,0.033168569,0.032069784,0.031826862,0.031641314,0.031519392,0.031449013,0.030613687,0.030541764,0.030418132,0.030235371,0.030003924,0.028972689,0.028689855,0.028399749,0.028100897,0.027794845,0.026775505,0.026517975,0.026302881,0.02613585,0.026009082,0.025206201,0.025106703,0.024991322,0.024856385,0.024020479,0.025226871,0.026408093,0.026222895,0.024700094,0.023856068,0.023678914,0.024156166,0.024627669,0.023163787,0.021723019,0.023479094,0.025849079,0.026694573,0.027166971,0.026652452,,,
Chile,,0.462310046,0.454423214,0.446734498,0.439241399,0.431951699,0.424858734,0.417990953,0.411424452,0.405246665,0.408079258,0.405683719,0.403567447,0.406646842,0.404872749,0.398441931,0.396627551,0.381060396,0.365973252,0.351303563,0.34145308,0.327442095,0.309444051,0.300458429,0.291492439,0.284426509,0.272589781,0.245932676,0.24055346,0.237460041,0.213222504,0.201062539,0.17984893,0.167214905,0.162710907,0.149359031,0.137885332,0.135808585,0.133819212,0.120156331,0.115356319,0.113944027,0.1061465,0.095363624,0.094261848,0.090081297,0.082925218,0.076901111,0.07833742,0.078075066,0.074698584,0.076563958,0.076889027,,,
China (People's Republic of),,0.155376857,0.153656668,0.149633245,0.145914327,0.142131057,0.137612184,0.133483533,0.129423765,0.125322697,0.121322474,0.117523971,0.114137559,0.111027961,0.109357472,0.105838639,0.104073881,0.102516813,0.100850795,0.099537154,0.098014237,0.097385512,0.100829838,0.104855811,0.109951052,0.114267773,0.112955689,0.110882029,0.109746467,0.109238815,0.109057114,0.108513356,0.105496279,0.102932691,0.101272408,0.099248457,0.098015687,0.097148548,0.096502635,0.095231633,0.093589251,0.091270197,0.092886598,0.090549519,0.09426939,0.090776547,0.090115483,0.082962474,0.081996444,0.082627736,0.083240849,0.083026567,0.078418888,,,
Cote d'Ivoire,,0.46639784,0.449137456,0.431892261,0.414848105,0.398128889,0.381813496,0.370270502,0.354580418,0.339256215,0.324309021,0.309789682,0.297513777,0.288969103,0.281391568,0.2747338,0.266038123,0.259759962,0.25232649,0.243289322,0.236523914,0.228296718,0.221052164,0.216768342,0.235538465,0.234297329,0.225632026,0.219378688,0.213458054,0.206050424,0.199738466,0.194429523,0.199280948,0.214967804,0.214995522,0.208270563,0.201990373,0.189587216,0.184378887,0.173505424,0.169512581,0.166020609,0.162928799,0.154360345,0.157281139,0.154417141,0.151462762,0.153746875,0.150558257,0.147320976,0.144051371,0.140748194,0.137423558,,,
Cameroon,,0.913323916,0.902790391,0.891743244,0.880273565,0.868451189,0.856305425,0.843849207,0.831112244,0.818122442,0.797522717,0.784302777,0.763907247,0.743735495,0.7304404,0.717036106,0.703561782,0.692001798,0.669261345,0.679989292,0.661656957,0.642311295,0.623375769,0.604878638,0.58684636,0.569303941,0.554130101,0.537550826,0.522409338,0.506956787,0.492114609,0.478668635,0.465743655,0.452574587,0.439955553,0.427866608,0.416282775,0.405167628,0.394476534,0.384162972,0.37419057,0.364540174,0.355196725,0.346137498,0.337341127,0.328956823,0.320641235,0.31255733,0.304694565,0.297043187,0.301107308,0.293573603,0.286248687,,,
"Congo, Rep.",,0.500016347,0.487068792,0.474235341,0.459789704,0.447359671,0.435162106,0.423188439,0.411375567,0.400420635,0.389486851,0.377855077,0.366376501,0.357910785,0.348372056,0.338600597,0.33116176,0.319780224,0.284154253,0.277165189,0.270857107,0.264634247,0.270043961,0.264281895,0.257737049,0.253401726,0.245037523,0.226147152,0.220994866,0.216017109,0.200715116,0.196316514,0.190861928,0.187889386,0.178492991,0.174550404,0.170606777,0.170515563,0.166270969,0.163260244,0.157593312,0.153900128,0.150451339,0.147078069,0.143585873,0.139876669,0.135937602,0.131874106,0.127844841,0.126557095,0.12296862,0.119690671,0.123652999,,,
Colombia,,0.207981092,0.201826657,0.196855328,0.191045385,0.18595691,0.181021044,0.175763633,0.170772044,0.166209513,0.16191312,0.158013528,0.155010608,0.152231272,0.149495899,0.146827344,0.144135395,0.141516404,0.138894276,0.136352689,0.133824094,0.131378653,0.128948208,0.12662067,0.124348923,0.122211995,0.120146082,0.118300997,0.110354547,0.103258219,0.096435637,0.087006902,0.086336156,0.080756631,0.076907328,0.064072466,0.063943795,0.065699913,0.065020038,0.063687743,0.069745641,0.059381917,0.053184205,0.053710194,0.052382543,0.046805365,0.043448561,0.04502571,0.040755732,0.039082905,0.038416223,0.045209237,0.033787662,,,
Comoros,,0.338845216,0.333401723,0.353169698,0.347110307,0.365119857,0.35793372,0.350405068,0.342788193,0.335376897,0.328309469,0.321715818,0.315395064,0.308800823,0.301300413,0.292615554,0.282769177,0.272236258,0.261704288,0.25187648,0.243097647,0.235361311,0.228411323,0.221990037,0.21579753,0.212451325,0.20898755,0.202850978,0.196863982,0.193546946,0.187886613,0.182432243,0.177171256,0.172114001,0.167271058,0.162644347,0.15822175,0.153990425,0.149948095,0.146092312,0.146066431,0.142469169,0.13902695,0.135708227,0.132479064,0.129317591,0.126219995,0.123189879,0.120225904,0.124661763,0.117361653,0.114529618,0.119946406,,,
